ad_owner,city,description,floor,municipality,price,publish_date,room_num,sqr_m,street,suburb,title,url_link
Vlasnik,Beograd,"U Beogradu izdajem stan na Voždovcu(Banjica, soliteri kod VMA) - 2 sobe - 60kvm - 20 sprat i predivan pogled - sveže okrečen - centralno grejanje i...",XX/22,Opština Voždovac,600.0,2023-04-13,2.0,60.0,Saše Simeunovića,Banjica,Izdaje se stan na Banjici,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-stan-na-banjici/5425642863966?kid=4
Agencija,Beograd,Potpuno nov neuseljavan luksuzan stan u zgradi Verde u elitnom naselju Beograd na vodi. Stan se nalazi na prestižnoj lokaciji u neposrednoj blizini...,XIX/21,Opština Savski venac,1500.0,2023-04-12,3.0,69.0,Bulevar Vudroa Vilsona,Beograd na vodi,"BW Verde, nov, lux, 3.0, sa garažnim mestom",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-verde-nov-lux-3-0-sa-garaznim-mestom/5425642945388?kid=4
Agencija,Beograd,"Ovaj svetao i prostran stan ukupne površine 120 m2, izdaje se u zgradi Aurora, u okviru Beograda na vodi. Istočne je orijentacije, četvorosoban po...",,Opština Savski venac,2400.0,2023-04-12,4.0,120.0,Bulevar Vudroa Vilsona,Beograd na vodi,"Komforan četvorosoban stan, BW Aurora",https://www.halooglasi.com/nekretnine/izdavanje-stanova/komforan-cetvorosoban-stan-bw-aurora/5425642929105?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",IV/17,Opština Savski venac,1350.0,2023-04-12,3.0,80.0,Hercegovacka,Beograd na vodi,Centar - Beograd Na Vodi BW ID#52289,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-id52289/5425642972172?kid=4
Vlasnik,Beograd,"Funkcionalni stan sa odvojenom spavaćom sobom, kompletno opremljenom kuhinjom sa ugradnim elementima, veš mašina, kablovska i internet uključeni u...",I/4,Opština Vračar,700.0,2023-04-12,1.5,30.0,Gospodara Vučića,Gospodara Vučića,"1,5-soban NOV Vračar ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-5-soban-nov-vracar/5425642991976?kid=4
Agencija,Beograd,"BW Metropolitan, Lux stan, I sprat, dve spavace, dve garaze Ag. provizija 50b%(za zakup u trajanju do 24 meseca) ID 8244",I/6,Opština Savski venac,3000.0,2023-04-12,3.0,89.0,BW Metropolitan,Beograd na vodi,"BW Met, 3.0 Lux stan, 2 garaže ID 8244",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-met-3-0-lux-stan-2-garaze-id-8244/5425642971631?kid=4
Agencija,Beograd,"Zrmanjska, kompletno renoviran 2.0 stan na I spratu. Odličan pogled, uredna zgrada, podno grejanje, cg, klima, lift. Dizajnerski opremljen i odmah...",I/5,Opština Čukarica,800.0,2023-04-12,2.0,58.0,Zrmanjska,Banovo brdo,"Zrmanjska, Lux dizajnerski 2.0 stan.Useljiv ID 825",https://www.halooglasi.com/nekretnine/izdavanje-stanova/zrmanjska-lux-dizajnerski-2-0-stan-useljiv-id/5425642991737?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",III/6,Opština Novi Beograd,700.0,2023-04-12,2.0,56.0,Antifasisticke Borbe,Arena,Novi Beograd - Blok 25 Arena ID#52391,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-25-arena-id52391/5425642991732?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",IV/6,Opština Vračar,550.0,2023-04-12,2.0,65.0,Vojislava Ilica,Crveni krst,Centar - Vracar ID#52392,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---vracar-id52392/5425642991731?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",IV/5,Opština Savski venac,550.0,2023-04-12,2.0,48.0,Bircaninova,Klinički centar,Centar - Savski Venac ID#52388,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---savski-venac-id52388/5425642991708?kid=4
